"source","stocklong","reference","year","n","n_units","catch","notes"
"Hilborn et al. (2017)","California sea lion Southern SCB [abundance (total)]","Lowry and Maravilla 2005",1996,80879.2669,"abundance (total)",NA,NA
"Hilborn et al. (2017)","California sea lion Southern SCB [abundance (total)]","Lowry and Maravilla 2005",1997,91725.0351,"abundance (total)",NA,NA
"Hilborn et al. (2017)","California sea lion Southern SCB [abundance (total)]","Lowry and Maravilla 2005",1998,50172.79,"abundance (total)",NA,NA
"Hilborn et al. (2017)","California sea lion Southern SCB [abundance (total)]","Lowry and Maravilla 2005",1999,95404.9035,"abundance (total)",NA,NA
"Hilborn et al. (2017)","California sea lion Southern SCB [abundance (total)]","Lowry and Maravilla 2005",2000,120780,"abundance (total)",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1986,31517,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1987,35524,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1988,32429,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1990,43552,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1991,35573,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1992,32923,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1993,44476,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1995,69803,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1996,65820,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1997,61394,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1998,53415,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",1999,59199,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",2000,54328,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",2001,68545,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",2002,104513,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",2003,107189,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot Southeast Farallons Island [breeding adults]","Lee et al. 2008",2004,169790,"breeding adults",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1987,51.4,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1988,58.5,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1989,70.2,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1990,68.4,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1991,58.3,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1992,52.3,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1993,53.3,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1994,60.2,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1996,39,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1997,55.4,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1998,45,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",1999,47.1,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",2000,46.9,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",2001,41.1,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",2002,40.2,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",2003,32.1,"population index",NA,NA
"Hilborn et al. (2017)","Common guillemot UU Colony, Farallons Island [population index]","Lee et al. 2008",2004,41.4,"population index",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1959,29,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1960,37,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1962,54,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1966,79,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1979,450,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1980,607,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1981,861,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1982,801,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Schaffner 1986",1983,437,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1980,15141,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1981,16532,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1982,17922,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1983,20262,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1984,21654,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1985,24938,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1986,14026,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1987,27249,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1988,29114,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1989,30032,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1990,24326,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1991,29977,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1992,19064,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1993,21877,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1994,35570,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1995,34124,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1996,46873,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1997,68138,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1998,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",1999,63821,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2000,94079,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2001,49572,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2002,84086,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2003,1724,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2004,84977,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2005,66969,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2006,78770,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2007,74484,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2008,99062,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2009,7709,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2010,584,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2011,81471,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2012,154000,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2013,117000,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern Isla Rasa [breeding pairs]","Velarde et al. 2015",2014,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1991,147,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1992,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1993,153,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1994,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1995,1893,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1996,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1997,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1998,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",1999,3061,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2000,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2001,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2002,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2003,10371,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2004,1125,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2005,3152,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2006,554,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2007,5109,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2008,6773,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2009,9594,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2010,18846,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2011,1580,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2012,0,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2013,213,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Elegant tern San Diego Bay [breeding pairs]","Velarde et al. 2015",2014,22326,"breeding pairs",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1990,524,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1991,568,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1992,580,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1993,570,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1994,789,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1995,744,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1996,836,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1997,857,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1998,979,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",1999,689,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2000,741,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2001,974,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2002,1309,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2003,1335,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2004,1561,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2005,1169,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2006,1536,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2007,2048,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2008,1477,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2009,1367,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale CA/OR [abundance (total est.)]","Calambokidis 2013",2010,1148,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale Washington [abundance (total est.)]","Calambokidis 2009",1995,102,"abundance (total est.)",NA,NA
"Hilborn et al. (2017)","Humpback whale Washington [abundance (total est.)]","Calambokidis 2009",1996,91,"abundance (total est.)",NA,NA
